# 한자|뜻|음|부수|획수
呑|삼킬|탄|口|7
嘆|탄식할|탄|口|14
坦|평탄할, 너그러울|탄|土|8
彈|탄알, 튀길|탄|弓|15
憚|꺼릴, 두려워할|탄|忄|15
歎|탄식할, 칭찬할|탄|欠|15
灘|여울|탄|氵|22
炭|숯|탄|火|9
綻|옷이 터질, 터질|탄|糸|14
誕|날, 속일|탄|言|14
奪|빼앗을, 잃을|탈|大|14
脫|벗을, 벗어날|탈|月|11
探|찾을, 더듬을|탐|扌|11
眈|노려볼|탐|目|9
耽|즐길, 빠질|탐|耳|10
貪|탐할|탐|貝|11
塔|탑|탑|土|13
搭|탈, 실을|탑|扌|13
榻|걸상|탑|木|14
宕|방탕할, 탕건|탕|宀|8
帑|나라금고|탕|巾|8
湯|끓일, 끓인 물|탕|氵|12
糖|사탕|탕|米|16
蕩|방자할, 쓸|탕|艹|16
兌|바꿀, 괘 이름|태|儿|7
台|별 이름|태|口|5
太|클|태|大|4
怠|게으를, 거만할|태|心|9
態|태도, 모양|태|心|14
殆|위태할, 거의|태|歹|9
汰|씻을|태|氵|7
泰|클, 편안할|태|氺|10
笞|볼기칠, 매질할|태|竹|11
胎|아이밸, 처음|태|月|9
苔|이끼|태|艹|9
跆|밟을|태|足|12
邰|나라 이름|태|阝|8
颱|태풍|태|風|14
宅|집, 구덩이|택|宀|6
擇|가릴, 뽑을|택|扌|16
澤|늪, 윤|택|氵|16
撑|버틸|탱|扌|15
攄|펼|터|扌|18
兎|토끼, 달|토|儿|7
吐|토할, 펼|토|口|6
土|흙, 땅|토|土|3
討|칠, 찾을|토|言|10
慟|서러워할|통|忄|14
桶|통|통|木|11
洞|꿰뚫을, 통할|통|氵|9
痛|아플, 슬퍼할|통|疒|12
筒|통, 대통|통|竹|12
統|거느릴, 계통|통|糸|12
通|통할, 온통|통|辶|11
堆|쌓을|퇴|土|11
槌|망치, 칠|퇴|木|14
腿|넓적다리, 정강이|퇴|月|14
褪|바랠, 옷벗을|퇴|衤|15
退|물러날, 물리칠|퇴|辶|10
頹|무너질, 좇을|퇴|頁|16
偸|훔칠, 엷을|투|亻|11
套|덮개, 한벌|투|大|10
妬|투기할|투|女|8
投|던질, 줄|투|扌|7
透|환할|투|辶|11
鬪|싸움|투|鬥|20
慝|악할|특|心|15
特|유다를, 홀로|특|牛|10
闖|엿볼, 쑥내밀|틈|門|18
坡|고개, 둑|파|土|8
婆|할미, 춤추는 모양|파|女|11
巴|땅 이름, 뱀|파|己|4
把|잡을, 자루|파|扌|7
播|뿌릴, 달아날|파|扌|15
擺|열, 흔들|파|扌|18
杷|비파나무, 자루|파|木|8
波|물결|파|氵|8
派|갈래, 보낼|파|氵|9
爬|긁을, 잡을|파|爪|8
琶|비파|파|王|12
破|깨뜨릴, 다할|파|石|10
罷|파할, 그만둘|파|罒|15
芭|파초|파|艹|8
跛|절뚝발|파|足|12
頗|치우칠, 자못|파|頁|14
判|판단할, 판결할|판|刂|7
坂|고개|판|土|7
板|널조각, 판목|판|木|8
版|널, 담틀|판|片|8
瓣|외씨, 꽃잎|판|瓜|19
販|팔, 장사|판|貝|11
辦|힘쓸, 갖출|판|辛|16
鈑|금박|판|金|12
阪|비탈|판|阝|7
八|여덟|팔|八|2
叭|나팔|팔|口|5
捌|깨뜨릴, 나눌|팔|扌|10
佩|찰, 패물|패|亻|8
唄|염불소리|패|口|10
悖|어그러질|패|忄|10
敗|패할, 무너질|패|攵|11
沛|늪|패|氵|7
浿|물 이름|패|氵|10
牌|때, 간판|패|片|12
狽|이리, 허둥지둥할|패|犭|10
稗|피, 잘|패|禾|13
覇|두목, 으뜸갈|패|覀|19
貝|조개, 돈|패|貝|7
彭|땅 이름|팽|彡|12
澎|물부딪는 소리|팽|氵|15
烹|삶을|팽|灬|11
膨|부풀|팽|月|16
愎|괴팍할, 어긋날|퍅|忄|12
便|편할|편|亻|9
偏|치우칠|편|亻|11
扁|작을, 현판|편|戶|9
片|조각, 쪽|편|片|4
篇|책, 편|편|竹|15
編|엮을, 얽을|편|糸|15
翩|나부낄, 훌쩍날|편|羽|15
遍|두루|편|辶|13
鞭|채찍|편|革|18
騙|속일, 뛰어오를|편|馬|19
貶|덜|폄|貝|12
坪|땅 평평할, 평|평|土|8
平|평평할, 다스릴|평|干|5
枰|판|평|木|9
萍|개구리밥|평|艹|12
評|품평|평|言|12
吠|짖을|폐|口|7
嬖|사랑할|폐|女|16
幣|비단, 돈|폐|巾|15
廢|폐할, 집쏠릴|폐|广|15
弊|해질, 폐|폐|廾|15
斃|넘어질, 넘어져 죽|폐|攵|18
肺|허파, 마음|폐|月|8
蔽|가릴, 가리울|폐|艹|16
閉|닫을, 막을|폐|門|11
陛|섬돌|폐|阝|10
佈|펼|포|亻|7
包|쌀, 보따리|포|勹|5
匍|길|포|勹|9
匏|박, 바가지|포|勹|11
咆|으르렁거릴, 성 불|포|口|8
哺|먹일, 씹어먹을|포|口|10
圃|채마밭|포|囗|10
布|베, 베풀|포|巾|5
怖|두려워할|포|忄|8
抛|던질, 버릴|포|扌|7
抱|안을, 품을|포|扌|8
捕|잡을|포|扌|10
暴|사나울, 지나칠|포|日|15
泡|거품|포|氵|8
浦|개|포|氵|10
疱|마마|포|疒|10
砲|돌쇠뇌|포|石|10
胞|태의, 배|포|月|9
脯|포|포|月|11
苞|쌀, 밑|포|艹|9
葡|포도, 포도나무|포|艹|13
蒲|부들, 창포|포|艹|14
袍|두루마기, 도포|포|衤|10
褒|기릴, 칭찬할|포|衣|15
逋|달아날, 포탈할|포|辶|11
鋪|펼, 가게|포|金|15
飽|배부를, 만족할|포|食|14
鮑|절인 어물|포|魚|16
幅|폭, 넓이|폭|巾|12
暴|나타낼, 쬘|폭|日|15
曝|쬘|폭|日|19
瀑|폭포|폭|氵|18
爆|터질|폭|火|19
輻|다투어 모일|폭|車|16
俵|나누어 줄, 흩을|표|亻|10
剽|표독할, 도둑질할|표|刂|13
彪|범, 문채날|표|彡|11
慓|날랠|표|忄|14
杓|북두자루|표|木|7
標|표, 표할|표|木|15
漂|떠다닐, 빨래할|표|氵|14
瓢|바가지|표|瓜|16
票|쪽지, 표|표|示|11
表|겉, 나타낼|표|衣|8
豹|표범|표|豸|10
飇|폭풍, 회오리바람|표|風|21
飄|나부낄, 회오리바람|표|風|20
驃|황부루, 빠를|표|馬|21
品|품수, 물건|품|口|9
稟|받을, 사뢸|품|禾|13
楓|단풍나무|풍|木|13
諷|욀, 변죽울릴|풍|言|16
豊|풍년|풍|豆|13
風|바람, 가르침|풍|風|9
馮|성|풍|馬|12
彼|저, 그|피|彳|8
披|헤칠, 찢어질|피|扌|8
疲|고달플, 느른할|피|疒|10
皮|가죽, 껍질|피|皮|5
被|이불, 미칠|피|衤|10
避|피할|피|辶|17
陂|방죽, 기울어질|피|阝|8
匹|짝, 상대|필|匸|4
弼|도울, 도지개|필|弓|12
必|반드시, 오로지|필|心|5
泌|물결 부딪칠|필|氵|8
珌|칼집장식|필|王|9
畢|마칠, 다할|필|田|11
疋|필, 신분이 낮은|필|疋|5
筆|붓|필|竹|12
苾|향내|필|艹|9
馝|향기로울|필|香|14
乏|떨어질|핍|丿|5
逼|닥칠|핍|辶|13
下|아래, 내릴|하|一|3
何|어찌, 누구|하|亻|7
厦|큰집|하|厂|12
夏|여름, 왕조 이름|하|夊|10
廈|큰집|하|广|13
昰|여름, 왕조 이름|하|日|9
河|물, 내|하|氵|8
瑕|티, 허물|하|王|13
荷|연, 멜|하|艹|11
蝦|두꺼비, 새우|하|虫|15
賀|하례할, 하례|하|貝|12
遐|멀|하|辶|13
霞|놀|하|雨|17
鰕|새우|하|魚|20
壑|골|학|土|17
學|배울, 학문|학|子|16
虐|사나울, 혹독할|학|虍|9
謔|농할|학|言|17
鶴|두루미|학|鳥|21
寒|찰, 떨|한|宀|12
恨|한할, 뉘우칠|한|忄|9
悍|사나울, 날랠|한|忄|10
旱|가물|한|日|7
汗|땀|한|氵|6
漢|물 이름, 왕조 이름|한|氵|14
澣|빨, 열흘|한|氵|16
瀚|넓을, 사막 이름|한|氵|19
罕|드물, 그물|한|罒|7
翰|붓, 글|한|羽|16
閑|한가할|한|門|12
閒|틈|한|門|12
限|한정|한|阝|9
韓|나라 이름|한|韋|17
割|나눌, 가를|할|刂|12
轄|비녀장|할|車|17
函|함, 편지|함|凵|8
含|머금을, 품을|함|口|7
咸|다|함|口|9
啣|재갈, 직함|함|口|11
喊|고함지를|함|口|12
檻|우리|함|木|18
涵|적실, 잠길|함|氵|11
緘|봉할, 묶을|함|糸|15
艦|싸움 배|함|舟|20
銜|재갈, 직함|함|金|14
陷|빠질, 함정|함|阝|11
鹹|짤|함|鹵|20
合|합할, 맞을|합|口|6
哈|웃음소리, 분량단위|합|口|9
盒|합|합|皿|11
蛤|조개, 대합조개|합|虫|12
閤|협문|합|門|14
闔|닫을, 문짝|합|門|18
陜|땅 이름|합|阝|10
亢|올라갈, 목|항|亠|4
伉|짝, 높을|항|亻|6
姮|항아, 달|항|女|9
嫦|항아|항|女|14
巷|거리|항|己|9
恒|항상|항|忄|9
抗|대항할, 막을|항|扌|7
杭|건널, 고을 이름|항|木|8
桁|차꼬, 횃대|항|木|10
沆|넓을|항|氵|7
港|항구|항|氵|12
缸|항아리|항|缶|9
肛|똥구멍, 분문|항|月|7
航|건널, 배|항|舟|10
行|항렬, 줄|항|行|6
降|항복할|항|阝|9
項|목덜미, 항|항|頁|12
亥|돼지, 끌지지|해|亠|6
偕|함께, 굳셀|해|亻|11
咳|기침, 방긋 웃을|해|口|9
垓|지경, 땅 가장자리|해|土|9
奚|어찌, 종|해|大|10
孩|아이|해|子|9
害|해칠, 손해|해|宀|10
懈|게으를|해|忄|16
楷|해서, 본보기|해|木|13
海|바다|해|氵|10
瀣|이슬기운|해|氵|19
蟹|게|해|虫|19
解|풀, 게으를|해|角|13
該|갖출, 그|해|言|13
諧|어울릴, 고를|해|言|16
邂|만날|해|辶|17
駭|놀랄|해|馬|16
骸|뼈|해|骨|16
劾|캐물을|핵|力|8
核|씨, 실과|핵|木|10
行|다닐, 행실|행|行|6
倖|요행|행|亻|10
幸|다행, 요행|행|干|8
杏|살구, 은행|행|木|7
荇|노랑어리 연꽃|행|艹|10
享|누릴, 드릴|향|亠|8
向|향할, 나아갈|향|口|6
嚮|향할, 접때|향|口|19
珦|옥 이름|향|王|10
鄕|시골, 고향|향|阝|13
響|울릴|향|音|22
餉|군량, 보낼|향|食|15
饗|대접할, 흠향할|향|食|22
香|향기|향|香|9
噓|풍칠|허|口|15
墟|터, 큰언덕|허|土|15
虛|빌, 헛될|허|虍|12
許|허락할, 바랄|허|言|11
憲|법, 고시할|헌|心|16
櫶|나무이름|헌|木|20
獻|드릴, 어진이|헌|犬|20
軒|처마, 초헌|헌|車|10
歇|쉴, 다할|헐|欠|13
險|험할, 음흉할|험|阝|16
驗|시험, 증험할|험|馬|23
奕|클, 아름다울|혁|大|9
爀|불빛|혁|火|18
赫|붉을, 대로할|혁|赤|14
革|가죽, 고칠|혁|革|9
俔|염탐할|현|亻|9
峴|재, 고개|현|山|10
弦|시위, 악기줄|현|弓|8
懸|달, 멀|현|心|20
晛|햇살, 해가날|현|日|11
泫|이슬빛날, 눈물흘릴|현|氵|8
炫|빛날|현|火|9
玄|검을, 오묘할|현|玄|5
玹|옥돌, 옥 이름|현|王|9
現|나타날, 지금|현|王|11
眩|아찔할|현|目|10
睍|불거진 눈, 훔쳐볼|현|目|12
絃|줄, 현악기|현|糸|11
絢|무늬, 고울|현|糸|12
縣|매달, 고을|현|糸|16
舷|뱃전|현|舟|11
衒|자랑할|현|行|11
見|나타날|현|見|7
賢|어질|현|貝|15
鉉|솥귀고리|현|金|13
顯|나타날, 밝을|현|頁|23
孑|외로울, 창|혈|子|3
穴|구멍, 움|혈|穴|5
血|피|혈|血|6
頁|머리|혈|頁|9
嫌|싫어할, 의심할|혐|女|13
俠|호협할|협|亻|9
協|화할, 도울|협|十|8
夾|낄, 좁을|협|大|7
峽|골짜기|협|山|10
挾|낄, 가질|협|扌|10
浹|두루 미칠, 젖을|협|氵|10
狹|좁을|협|犭|10
脅|으를, 겨드랑이|협|月|10
脇|으를, 겨드랑이|협|月|10
莢|꼬투리|협|艹|11
鋏|부젓가락, 칼|협|金|15
頰|뺨|협|頁|16
亨|형통할|형|亠|7
兄|맏, 언니|형|儿|5
刑|형벌, 목 자를|형|刂|6
型|거푸집, 본보기|형|土|9
形|형상, 얼굴|형|彡|7
泂|멀|형|氵|8
滎|실개천, 물결일|형|水|14
瀅|맑을|형|氵|18
灐|물이름|형|氵|21
炯|밝을|형|火|9
熒|등불, 비칠|형|火|14
珩|패옥, 갓끈|형|王|10
瑩|의혹할, 옥빛 조촐|형|玉|15
荊|가시나무, 모형|형|艹|10
螢|개똥벌레|형|虫|16
衡|저울, 평평할|형|行|16
逈|멀|형|辶|10
邢|나라 이름|형|阝|7
鎣|쇠 가는 줄|형|金|18
馨|향내날|형|香|20
兮|어조사|혜|八|4
彗|비, 살별|혜|彐|11
惠|은혜, 인자할|혜|心|12
慧|슬기|혜|心|15
暳|별 반짝거릴|혜|日|15
蕙|훈초, 성품좋을|혜|艹|16
蹊|좁은길|혜|足|17
醯|초|혜|酉|19
鞋|신|혜|革|15
乎|그런가|호|丿|5
互|서로|호|二|4
呼|부를, 숨 내쉴|호|口|8
壕|해자|호|土|17
壺|병|호|士|12
好|좋을, 좋아할|호|女|6
岵|산|호|山|8
弧|활|호|弓|8
戶|지게, 집|호|戶|4
扈|뒤따를, 입을|호|戶|11
昊|하늘|호|日|8
晧|밝을, 해뜰|호|日|11
毫|잔털, 조금|호|毛|11
浩|넓을, 넉넉할|호|氵|10
淏|맑을|호|氵|11
湖|호수|호|氵|12
滸|물가|호|氵|14
澔|넓을, 넉넉할|호|氵|15
濠|해자, 호주|호|氵|17
濩|퍼질|호|氵|17
灝|아득할|호|氵|24
狐|여우|호|犭|8
琥|호박|호|王|12
瑚|산호, 호련|호|王|13
瓠|표주박, 병|호|瓜|11
皓|흴, 빛날|호|白|12
祜|복|호|示|10
糊|풀, 모호할|호|米|15
縞|명주, 흴|호|糸|16
胡|오랑캐, 어찌|호|月|9
芦|지황, 부들|호|艹|8
葫|마늘, 호리병박|호|艹|13
蒿|쑥|호|艹|14
虎|범|호|虍|8
號|부르짖을, 부를|호|虍|13
蝴|나비|호|虫|15
護|도울, 지킬|호|言|21
豪|뛰어날, 호협할|호|豕|14
鎬|남비, 빛날|호|金|18
頀|풍류 이름|호|音|23
顥|클|호|頁|21
惑|미혹할|혹|心|12
或|혹|혹|戈|8
酷|독할, 심할|혹|酉|14
婚|혼인할|혼|女|11
昏|어두울|혼|日|8
混|섞을|혼|氵|11
渾|흐릴, 모두|혼|氵|12
琿|아름다운 옥|혼|王|13
魂|넋|혼|鬼|14
忽|문득, 소홀히 할|홀|心|8
惚|황홀할|홀|忄|11
笏|홀|홀|竹|10
哄|떠들, 큰 소리 웃을|홍|口|9
弘|넓을, 클|홍|弓|5
汞|수은|홍|水|7
泓|물속 깊을, 물 맑을|홍|氵|8
洪|클, 큰물|홍|氵|9
烘|땔|홍|火|10
紅|붉을, 연지|홍|糸|9
虹|무지개|홍|虫|9
訌|어지러울|홍|言|10
鴻|큰기러기, 클|홍|鳥|17
化|화할, 교화할|화|匕|4
和|화할, 순할|화|口|8
嬅|탐스러울|화|女|15
樺|자작나무|화|木|16
火|불, 탈|화|火|4
畵|그림, 그릴|화|田|13
禍|재화, 재앙|화|示|14
禾|벼, 곡식|화|禾|5
花|꽃, 아름다울|화|艹|8
華|빛날, 꽃|화|艹|12
話|이야기|화|言|13
譁|떠들썩할|화|言|19
貨|재화, 물건|화|貝|11
靴|신|화|革|13
廓|클, 휑할|확|广|14
擴|넓힐|확|扌|18
攫|움킬|확|扌|23
確|확실할, 단단할|확|石|15
碻|굳을, 채찍|확|石|15
穫|벨, 거둘|확|禾|19
丸|알, 둥글|환|丶|3
喚|부를|환|口|12
奐|빛날, 성할|환|大|9
宦|벼슬, 벼슬살이|환|宀|9
幻|허깨비, 변할|환|幺|4
患|근심, 병|환|心|11
換|바꿀|환|扌|12
歡|기뻐할|환|欠|22
晥|환할, 밝을|환|日|11
桓|굳셀, 머뭇거릴|환|木|10
渙|흩어질, 풀릴|환|氵|12
煥|빛날|환|火|13
環|고리, 두를|환|王|17
紈|흰비단|환|糸|9
還|돌아올, 갚을|환|辶|17
驩|기뻐할|환|馬|28
鰥|환어, 홀아비|환|魚|21
活|살, 생기있을|활|氵|9
滑|반드러울, 교활할|활|氵|13
猾|교활할, 어지러울|활|犭|13
豁|소통할|활|谷|17
闊|넓을, 멀|활|門|17
凰|봉새|황|几|11
幌|휘장|황|巾|13
徨|배회할|황|彳|12
恍|황홀할|황|忄|9
惶|두려워할|황|忄|12
愰|밝을, 들뜰|황|忄|13
慌|허겁지겁할, 흐리멍|황|忄|13
晃|밝을|황|日|10
晄|밝을|황|日|10
榥|책상|황|木|14
況|하물며, 모양|황|氵|8
湟|빨리 흐를, 물 이름|황|氵|12
滉|깊을|황|氵|13
潢|못|황|氵|15
煌|빛날|황|火|13
璜|패옥|황|王|16
皇|임금, 클|황|白|9
篁|대숲, 대 이름|황|竹|15
簧|혀, 피리|황|竹|18
荒|거칠, 흉년들|황|艹|10
蝗|누리|황|虫|15
遑|허둥지둥할|황|辶|13
隍|해자|황|阝|12
黃|누를|황|黃|12
匯|물돌, 물모일|회|匚|13
回|돌아올, 피할|회|囗|6
廻|돌, 피할|회|廴|9
徊|노닐|회|彳|9
恢|클, 넓을|회|忄|9
悔|뉘우칠, 한할|회|忄|10
懷|품을, 위로할|회|忄|19
晦|그믐, 어두울|회|日|11
會|모을, 마침|회|曰|13
檜|노송나무|회|木|17
淮|물 이름|회|氵|11
澮|봇도랑, 물 이름|회|氵|16
灰|재, 재가될|회|火|6
獪|교활할|회|犭|16
繪|그림, 그릴|회|糸|19
膾|회칠, 회|회|月|17
茴|회향풀|회|艹|10
蛔|거위|회|虫|12
誨|가르칠|회|言|14
賄|뇌물|회|貝|13
劃|그을, 계획할|획|刂|14
獲|얻을, 빼앗을|획|犭|17
宖|집울릴|횡|宀|8
橫|가로, 사나울|횡|木|16
鐄|종, 종소리|횡|金|20
哮|으르렁거릴, 성낼|효|口|10
嚆|울, 부르짖을|효|口|17
孝|효도, 상복입을|효|子|7
效|본받을, 힘쓸|효|攵|10
斅|가르칠, 깨우칠|효|攴|20
曉|새벽, 깨달을|효|日|16
梟|올빼미, 목베어 매|효|木|11
涍|성, 강 이름|효|氵|10
淆|어지러울, 흐릴|효|氵|11
爻|육효, 사귈|효|爻|4
肴|안주, 고기안주|효|月|8
酵|술밑, 술괼|효|酉|14
驍|날랠|효|馬|22
侯|기다릴|후|亻|9
候|철, 염탐할|후|亻|10
厚|두터울, 두꺼울|후|厂|9
后|황후, 임금|후|口|6
吼|울, 성낸소리|후|口|7
喉|목구멍, 목|후|口|12
嗅|냄새맡을|후|口|13
帿|과녁|후|巾|12
後|뒤, 아들|후|彳|9
朽|썩을|후|木|6
煦|따뜻하게 할|후|灬|13
珝|구슬|후|王|10
逅|만날|후|辶|10
暈|무리, 어지러울|훈|日|13
勛|공|훈|力|12
勳|공|훈|力|16
塤|질나팔|훈|土|13
壎|질나팔|훈|土|17
焄|냄새, 김오를|훈|灬|11
熏|연기낄, 탈|훈|灬|14
燻|연기낄, 탈|훈|火|18
薰|훈초, 향내|훈|艹|18
訓|가르칠, 새김|훈|言|10
薨|훙서|훙|艹|17
喧|시끄러울, 떠들|훤|口|12
暄|따뜻할|훤|日|13
煊|따뜻할|훤|火|13
萱|원추리|훤|艹|13
卉|풀|훼|十|5
喙|부리, 괴로울|훼|口|12
毁|헐, 비방할|훼|殳|13
彙|무리, 고슴도치|휘|彑|13
徽|아름다울, 기러기발|휘|彳|17
揮|휘두를, 지휘할|휘|扌|12
暉|빛, 빛날|휘|日|13
煇|빛|휘|火|13
諱|꺼릴, 숨길|휘|言|16
輝|빛날, 빛|휘|車|15
麾|대장기, 가리킬|휘|麻|15
休|쉴, 아름다울|휴|亻|6
携|가질, 끌|휴|扌|13
烋|경사로울, 행복|휴|灬|10
畦|두둑|휴|田|11
虧|어지러질|휴|虍|17
恤|동정할, 돌볼|휼|忄|9
譎|속일|휼|言|19
鷸|도요새|휼|鳥|23
兇|흉악할, 두려워할|흉|儿|6
凶|흉할, 흉악할|흉|凵|4
匈|오랑캐, 떠들석할|흉|勹|6
洶|용솟음할|흉|氵|9
胸|가슴, 마음|흉|月|10
黑|검은빛|흑|黑|12
昕|새벽|흔|日|8
欣|기뻐할|흔|欠|8
炘|화끈거릴, 불사를|흔|火|8
痕|흉|흔|疒|11
吃|말더듬을, 먹을|흘|口|6
屹|쭈뼛할|흘|山|6
紇|묶을, 인종 이름|흘|糸|9
訖|이를|흘|言|10
欠|하품, 모자랄|흠|欠|4
欽|공경할, 부러워할|흠|欠|12
歆|흠향할, 부러워할|흠|欠|13
吸|숨 들이쉴, 마실|흡|口|7
恰|흡사할|흡|忄|9
洽|젖을, 화할|흡|氵|9
翕|모일, 합할|흡|羽|12
興|일, 흥겨울|흥|臼|16
僖|즐길|희|亻|14
凞|화합할|희|冫|15
喜|기쁠, 좋을|희|口|12
噫|탄식할|희|口|16
囍|쌍희|희|口|22
姬|계집|희|女|9
嬉|즐길, 희학질할|희|女|15
希|바랄, 드물|희|巾|7
憙|기뻐할, 좋아할|희|心|16
憘|기뻐할, 좋아할|희|忄|15
戱|희롱할, 연극|희|戈|16
晞|마를, 말릴|희|日|11
曦|햇빛|희|日|20
熙|빛날|희|灬|14
熹|불이 활활 탈, 기쁠|희|灬|16
熺|불이 활활 탈, 기쁠|희|火|16
犧|희생|희|牛|20
禧|복, 길할|희|示|17
稀|드물|희|禾|12
羲|사람 이름|희|羊|16
詰|꾸짖을, 새벽|힐|言|13
尢|절름발이|왕|尢|3
隹|새|추|隹|8
耒|쟁기|뢰|耒|6
亠|의미없는 토|두|亠|2
巛|내|천|巛|3
鬯|술|창|鬯|10
幺|작다|요|幺|3
广|집|엄|广|3
黽|맹꽁이|맹|黽|13
卩|병부|절|卩|2
黹|바느질하다|치|黹|12
亅|갈고리|궐|亅|1
糸|실|사|糸|6
爿|나무조각|장|爿|4
囗|둘러쌀|위|囗|3
癶|걷다|발|癶|5
夊|천천히걷다|쇠|夊|3
覀|덮다|아|覀|6
丿|삐치다|별|丿|1
厂|언덕|엄|厂|2
殳|치다|수|殳|4
疒|병질|녁|疒|5
韭|부추|구|韭|9
虍|범|호|虍|6
冫|얼음|빙|冫|2
廴|길게걷다|인|廴|3
攴|치다|복|攴|4
釆|분별하다|변|釆|7
匚|상자|방|匚|2
彐|고슴도치머리|계|彐|3
彡|터럭|삼|彡|3
几|안석|궤|几|2
弋|주살|익|弋|3
隶|미치다|이|隶|8
儿|어진사람|인|儿|2
宀|움집|면|宀|3
彳|자축거리다|척|彳|3
豸|발없는벌레의총칭|치|豸|7
辵|쉬엄쉬엄가다|착|辵|7
凵|입벌리다|감|凵|2
勹|싸다|포|勹|2
匸|감추다|혜|匸|2
网|그물|망|网|6
禸|발자국|유|禸|5
夂|뒤처져오다|치|夂|3
厶|사사|사|厶|2
虫|벌레|훼|虫|6
冖|덮다|멱|冖|2
屮|왼손|좌|屮|3
髟|머리털이길게드리워진모양|표|髟|10
气|기운|기|气|4
丶|불똥|주|丶|1
冂|멀다|경|冂|2
丨|뚫다|곤|丨|1
廾|들다|공|廾|3
鬥|싸움|투|鬥|10
鬲|다리굽은솥|력|鬲|10
歹|부서진뼈|알|歹|4
龠|피리|약|龠|17
乚|숨을|은|乚|1
刂|선칼도방|부|刂|2
亻|사람인변|부|亻|2
忄|심방변|부|忄|3
氵|삼수변|부|氵|3
犭|개사슴변|부|犭|3
彑|고슴도치머리|계|彑|3
阝|우부방|부|阝|3
阝|좌부변|부|阝|3
辶|책받침|부|辶|4
灬|불화발|부|灬|4
爫|손톱조|부|爫|4
攵|치다|복|攵|4
耂|늙을로엄|부|耂|4
月|고기육|부|月|4
艹|초두|부|艹|4
衤|옷의|부|衤|5
罒|그물|부|罒|5
氺|아래물|수|氺|5
磴|돌다리|등|石|17
嵇|산이름|혜|山|12
瀦|웅덩이|저|氵|19
徑|지름길|경|彳|10
郞|사내|랑|阝|10
涼|서늘할|량|氵|11
惘|멍할|망|忄|11
呆|어리석을|매|口|7
俛|힘쓸|면|亻|9
麪|밀가루|면|麥|15
糢|모호할|모|米|17
妣|죽은 어미|비|女|7
祕|비밀|비|示|10
遡|거스를|소|辶|14
讎|원수|수|言|23
礙|막을|애|石|19
癢|가려울|양|疒|20
嬰|갓난아이|영|女|17
嵎|산모퉁이|우|山|12
冤|원통할|원|冖|10
觝|찌를|저|角|12
豬|돼지|저|豕|16
撐|버틸|탱|扌|15
霸|으뜸|패|雨|21
庖|부엌|포|广|8
瘧|학질|학|疒|15
戲|희롱할|희|戈|17
廏|마구간|구|广|14
強|강할|강|弓|11
昂|밝을,높을|앙|日|8
柿|감나무|시|木|9
滲|샐|삼|氵|14
獎|권면할|장|犬|15
顴|광대뼈|관|頁|27
顴|광대뼈|권|頁|27
畫|그림|화|田|12
畫|그을|획|田|12
妵|예쁠, 사람 이름|주|女|8
宿|별자리|수|宀|11
丹|모란|난|丶|4
數|촘촘할|촉|攵|15
說|벗을|탈|言|14
率|우두머리|수|玄|11
拾|오를|섭|扌|9
咽|삼킬|연|口|9
識|깃발|치|言|19
刺|수라|라|刂|8
刺|수라|나|刂|8
輻|몰려들|부|車|16
